MPIO,AÑO,Población_menor,Cantidad,tasa
25524,2019,404,0,0.0
25530,2019,895,0,0.0
25535,2019,691,0,0.0
25572,2019,1226,0,0.0
25580,2019,235,0,0.0
25592,2019,299,0,0.0
25594,2019,516,0,0.0
25596,2019,428,0,0.0
25599,2019,667,0,0.0
25612,2019,1113,0,0.0
25645,2019,821,0,0.0
25649,2019,761,0,0.0
25653,2019,332,0,0.0
25658,2019,847,0,0.0
25662,2019,580,0,0.0
25718,2019,678,0,0.0
25736,2019,1000,0,0.0
25740,2019,2606,0,0.0
25743,2019,1782,0,0.0
25745,2019,1070,0,0.0
25754,2019,56055,0,0.0
25758,2019,1760,0,0.0
25769,2019,1194,0,0.0
25772,2019,1575,0,0.0
25777,2019,344,0,0.0
25779,2019,592,0,0.0
25781,2019,658,0,0.0
25785,2019,1840,0,0.0
25793,2019,898,0,0.0
25797,2019,758,0,0.0
25799,2019,1752,0,0.0
25805,2019,303,0,0.0
25807,2019,168,0,0.0
25815,2019,948,0,0.0
25817,2019,4061,0,0.0
25823,2019,274,0,0.0
25839,2019,491,0,0.0
25841,2019,509,0,0.0
25843,2019,3762,0,0.0
25845,2019,491,0,0.0
25851,2019,253,0,0.0
25862,2019,447,0,0.0
25867,2019,329,0,0.0
25871,2019,121,0,0.0
25873,2019,1654,0,0.0
25875,2019,1905,0,0.0
25878,2019,925,0,0.0
25885,2019,902,0,0.0
25898,2019,356,0,0.0
25899,2019,10905,0,0.0
27001,2019,14128,8,56.63
27006,2019,1439,0,0.0
27025,2019,3454,0,0.0
27050,2019,582,1,171.82
27073,2019,1688,3,177.73
27075,2019,1049,0,0.0
27077,2019,3640,1,27.47
27099,2019,1746,4,229.1
27135,2019,736,1,135.87
27150,2019,2308,1,43.33
27160,2019,559,0,0.0
27205,2019,1213,1,82.44
27245,2019,770,1,129.87
27250,2019,2876,0,0.0
27361,2019,3166,2,63.17
27372,2019,891,0,0.0
27413,2019,1784,1,56.05
27425,2019,980,0,0.0
27430,2019,1907,1,52.44
27450,2019,1198,0,0.0
27491,2019,1021,1,97.94
27495,2019,2130,0,0.0
27580,2019,641,1,156.01
27600,2019,925,0,0.0
27615,2019,4591,2,43.56
27660,2019,521,0,0.0
27745,2019,364,0,0.0
27787,2019,1940,2,103.09
27800,2019,1385,0,0.0
27810,2019,645,0,0.0
41001,2019,31467,0,0.0
41006,2019,2768,0,0.0
41013,2019,877,0,0.0
41016,2019,1624,0,0.0
41020,2019,1976,1,50.61
41026,2019,305,0,0.0
41078,2019,555,0,0.0
41132,2019,2723,0,0.0
41206,2019,706,0,0.0
41244,2019,349,0,0.0
41298,2019,6940,0,0.0
41306,2019,2078,0,0.0
41319,2019,1818,0,0.0
41349,2019,736,0,0.0
41357,2019,1023,0,0.0
41359,2019,2315,0,0.0
41378,2019,1350,0,0.0
41396,2019,6758,0,0.0
41483,2019,779,0,0.0
41503,2019,1442,0,0.0
41518,2019,628,0,0.0
41524,2019,2446,1,40.88
41530,2019,1235,0,0.0
41548,2019,1620,0,0.0
41551,2019,11845,1,8.44
41615,2019,2006,0,0.0
41660,2019,1230,0,0.0
41668,2019,3089,0,0.0
41676,2019,1167,0,0.0
41770,2019,2474,0,0.0
41791,2019,1676,0,0.0
41797,2019,1027,0,0.0
41799,2019,1098,0,0.0
41801,2019,815,0,0.0
41807,2019,1922,0,0.0
41872,2019,657,0,0.0
41885,2019,639,0,0.0
44001,2019,23777,25,105.14
44035,2019,3680,1,27.17
44078,2019,4059,1,24.64
44090,2019,4785,0,0.0
44098,2019,1427,1,70.08
44110,2019,656,0,0.0
44279,2019,5144,1,19.44
44378,2019,2423,0,0.0
44420,2019,359,0,0.0
44430,2019,22118,27,122.07
44560,2019,13033,2,15.35
44650,2019,4546,3,65.99
44847,2019,20490,11,53.68
44855,2019,1049,0,0.0
44874,2019,2971,0,0.0
47001,2019,43303,8,18.47
47030,2019,1862,0,0.0
47053,2019,4292,0,0.0
47058,2019,3184,0,0.0
47161,2019,1006,0,0.0
47170,2019,2353,0,0.0
47189,2019,11439,6,52.45
47205,2019,891,0,0.0
47245,2019,7059,2,28.33
47258,2019,2226,0,0.0
47268,2019,2158,0,0.0
47288,2019,6897,1,14.5
47318,2019,2726,0,0.0
47460,2019,2253,0,0.0
47541,2019,933,0,0.0
47545,2019,1489,0,0.0
47551,2019,3585,0,0.0
47555,2019,6338,0,0.0
47570,2019,3399,0,0.0
47605,2019,1101,0,0.0
47660,2019,1909,1,52.38
47675,2019,939,0,0.0
47692,2019,2119,0,0.0
47703,2019,1433,0,0.0
47707,2019,2714,1,36.85
47720,2019,1067,0,0.0
47745,2019,2843,0,0.0
47798,2019,1289,0,0.0
47960,2019,1039,0,0.0
47980,2019,8027,3,37.37
50001,2019,40270,3,7.45
50006,2019,7163,0,0.0
50110,2019,668,0,0.0
50124,2019,599,0,0.0
50150,2019,1425,0,0.0
50223,2019,500,0,0.0
50226,2019,1908,0,0.0
50245,2019,90,0,0.0
50251,2019,664,0,0.0
50270,2019,279,0,0.0
50287,2019,1030,0,0.0
50313,2019,6065,0,0.0
50318,2019,1224,0,0.0
50325,2019,1097,1,91.16
50330,2019,995,0,0.0
50350,2019,3229,0,0.0
50370,2019,827,1,120.92
50400,2019,995,0,0.0
50450,2019,898,1,111.36
50568,2019,5754,1,17.38
50573,2019,2933,1,34.09
50577,2019,918,0,0.0
50590,2019,1240,0,0.0
50606,2019,1469,0,0.0
50680,2019,1342,0,0.0
50683,2019,620,0,0.0
50686,2019,128,0,0.0
50689,2019,2188,0,0.0
50711,2019,1493,0,0.0
52001,2019,24023,1,4.16
52019,2019,568,0,0.0
52022,2019,507,0,0.0
52036,2019,433,0,0.0
52051,2019,574,0,0.0
52079,2019,7316,2,27.34
52083,2019,391,0,0.0
52110,2019,1504,0,0.0
52203,2019,480,0,0.0
52207,2019,676,0,0.0
52210,2019,515,0,0.0
52215,2019,1218,0,0.0
52224,2019,718,0,0.0
52227,2019,3085,0,0.0
52233,2019,371,0,0.0
52240,2019,1040,0,0.0
52250,2019,3011,0,0.0
52254,2019,337,0,0.0
52256,2019,685,0,0.0
52258,2019,818,0,0.0
52260,2019,780,0,0.0
52287,2019,376,0,0.0
52317,2019,1273,0,0.0
52320,2019,620,0,0.0
52323,2019,369,0,0.0
52352,2019,559,0,0.0
52354,2019,370,0,0.0
52356,2019,8948,1,11.18
52378,2019,1111,0,0.0
52381,2019,559,0,0.0
52385,2019,578,0,0.0
52390,2019,910,0,0.0
52399,2019,2062,0,0.0
52405,2019,636,0,0.0
52411,2019,490,0,0.0
52418,2019,671,0,0.0
52427,2019,3632,1,27.53
52435,2019,646,0,0.0
52473,2019,1050,0,0.0
52480,2019,289,0,0.0
52490,2019,3181,0,0.0
52506,2019,435,0,0.0
52520,2019,1511,0,0.0
52540,2019,602,0,0.0
52560,2019,848,0,0.0
52565,2019,413,0,0.0
52573,2019,600,0,0.0
52585,2019,1118,0,0.0
52612,2019,2295,6,261.44
52621,2019,1550,0,0.0
52678,2019,1661,0,0.0
52683,2019,1060,0,0.0
52685,2019,636,0,0.0
52687,2019,1082,0,0.0
52693,2019,877,0,0.0
52694,2019,448,0,0.0
52696,2019,1636,0,0.0
52699,2019,802,0,0.0
52720,2019,412,0,0.0
52786,2019,881,0,0.0
52788,2019,825,0,0.0
52835,2019,25886,4,15.45
52838,2019,2854,0,0.0
52885,2019,680,0,0.0
54001,2019,59589,5,8.39
54003,2019,3337,0,0.0
54051,2019,831,0,0.0
54099,2019,671,0,0.0
54109,2019,776,0,0.0
54125,2019,265,0,0.0
54128,2019,956,0,0.0
54172,2019,1405,0,0.0
54174,2019,1104,0,0.0
54206,2019,2119,1,47.19
54223,2019,621,0,0.0
54239,2019,358,0,0.0
54245,2019,1553,0,0.0
54250,2019,2912,0,0.0
54261,2019,2761,0,0.0
54313,2019,469,0,0.0
54344,2019,1377,0,0.0
54347,2019,616,0,0.0
54377,2019,535,0,0.0
54385,2019,1424,0,0.0
54398,2019,789,0,0.0
54405,2019,7244,1,13.8
54418,2019,404,0,0.0
54480,2019,377,0,0.0
54498,2019,9933,2,20.13
54518,2019,3322,0,0.0
54520,2019,476,0,0.0
54553,2019,952,0,0.0
54599,2019,472,0,0.0
54660,2019,825,0,0.0
54670,2019,1530,0,0.0
54673,2019,729,0,0.0
54680,2019,279,0,0.0
54720,2019,2856,0,0.0
54743,2019,645,0,0.0
54800,2019,2205,3,136.05
54810,2019,7174,8,111.51
54820,2019,1355,1,73.8
54871,2019,558,0,0.0
54874,2019,8915,0,0.0
63001,2019,17047,1,5.87
63111,2019,234,0,0.0
63130,2019,4509,0,0.0
63190,2019,1773,0,0.0
63212,2019,436,0,0.0
63272,2019,682,0,0.0
63302,2019,483,0,0.0
63401,2019,2268,0,0.0
63470,2019,2488,0,0.0
63548,2019,353,0,0.0
63594,2019,1958,0,0.0
63690,2019,588,0,0.0
66001,2019,28569,0,0.0
66045,2019,787,0,0.0
66075,2019,422,0,0.0
66088,2019,1724,0,0.0
66170,2019,13741,0,0.0
66318,2019,782,0,0.0
66383,2019,493,0,0.0
66400,2019,1779,0,0.0
66440,2019,1190,0,0.0
66456,2019,2471,1,40.47
66572,2019,2961,7,236.41
66594,2019,2219,0,0.0
66682,2019,4691,0,0.0
66687,2019,778,0,0.0
68001,2019,38109,1,2.62
